source_family,species,rows,hunt_code_rows,unique_hunt_codes
antlerless,Antlerless Deer,20,20,20
antlerless,CWMU Antlerless Deer,3,3,3
antlerless,Antlerless Elk,104,104,104
antlerless,CWMU Antlerless Elk,57,57,57
antlerless,Private-Lands Only Antlerless Elk,25,25,25
antlerless,Antlerless Moose,3,3,3
antlerless,Doe Pronghorn,16,16,16
antlerless,CWMU Doe Pronghorn,9,9,9
antlerless,Ewe Bighorn Sheep,1,1,1
le_oial_all,Once-in-a-Lifetime Bison,19,19,19
le_oial_all,Limited Entry Buck Deer,195,195,195
le_oial_all,Once-in-a-Lifetime Desert Bighorn Sheep,24,24,24
le_oial_all,Limited Entry Bull Elk,193,193,193
le_oial_all,Limited Entry Bull Moose,40,40,40
le_oial_all,Once-in-a-Lifetime Mountain Goat,18,18,18
le_oial_all,Limited Entry Buck Pronghorn,88,88,88
le_oial_all,Once-in-a-Lifetime Rocky Mountain Bighorn Sheep,22,22,22
black_bear,Black Bear,133,87,87
cougar,Cougar,53,0,0
