reported_hunt_year,model_target_year,source_file,source_page,source_family,species,pursuit_type,unit_context,permits,sample_n,pursuers_afield,pursuit_days_afield,bears_treed_male,bears_treed_female,bears_treed_cubs,bears_treed_unknown,bears_treed_total,bears_per_pursuit_day,bears_per_pursuer,raw_line,source_sha256
2024,2025,24_black_bear_report.pdf,13,black_bear_restricted_pursuit_by_unit_season_2024,Black Bear,restricted_spring_nonresident,Book Cliffs,2,1,0,,,,,,,,,Book Cliffs 2 1 0 — — — — — — — —,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,13,black_bear_restricted_pursuit_by_unit_season_2024,Black Bear,restricted_spring_nonresident,La Sal,2,1,0,,,,,,,,,La Sal 2 1 0 — — — — — — — —,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,13,black_bear_restricted_pursuit_by_unit_season_2024,Black Bear,restricted_spring_nonresident,San Juan,2,1,0,,,,,,,,,San Juan 2 1 0 — — — — — — — —,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,13,black_bear_restricted_pursuit_by_unit_season_2024,Black Bear,restricted_summer,Book Cliffs (early),27,20,9,38.0,2.0,8.0,0.0,0.0,10.0,0.3,1.1,Book Cliffs (early) 27 20 9 38 2 8 0 0 10 0.3 1.1,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,13,black_bear_restricted_pursuit_by_unit_season_2024,Black Bear,restricted_summer,La Sal (early),13,6,2,28.0,2.0,13.0,0.0,0.0,15.0,0.5,7.5,La Sal (early) 13 6 2 28 2 13 0 0 15 0.5 7.5,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,13,black_bear_restricted_pursuit_by_unit_season_2024,Black Bear,restricted_summer,San Juan (early),14,8,7,28.0,5.0,5.0,0.0,0.0,10.0,0.4,1.4,San Juan (early) 14 8 7 28 5 5 0 0 10 0.4 1.4,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,13,black_bear_restricted_pursuit_by_unit_season_2024,Black Bear,restricted_summer,Book Cliffs (late),26,17,14,80.0,0.0,17.0,8.0,6.0,31.0,0.4,2.2,Book Cliffs (late) 26 17 14 80 0 17 8 6 31 0.4 2.2,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,13,black_bear_restricted_pursuit_by_unit_season_2024,Black Bear,restricted_summer,La Sal (late),14,8,11,75.0,11.0,26.0,7.0,16.0,60.0,0.8,5.5,La Sal (late) 14 8 11 75 11 26 7 16 60 0.8 5.5,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
2024,2025,24_black_bear_report.pdf,13,black_bear_restricted_pursuit_by_unit_season_2024,Black Bear,restricted_summer,San Juan (late),12,8,3,27.0,0.0,6.0,2.0,0.0,8.0,0.3,2.7,San Juan (late) 12 8 3 27 0 6 2 0 8 0.3 2.7,950e92f6b02dd6477620505e7a95c5a7a8709b8782093101df6d6fe1e9f64cf7
