reported_draw_year,model_target_year,source_family,hunt_code,boundary_id,hunt_code_mapping_status,boundary_id_mapping_status,candidate_hunt_code,candidate_boundary_id,hunt_name,species,sex_type,hunt_type,hunt_class,weapon,resident_applicants,resident_bonus_permits,resident_regular_permits,resident_total_permits,resident_success_ratio,nonresident_applicants,nonresident_bonus_permits,nonresident_regular_permits,nonresident_total_permits,nonresident_success_ratio,total_public_draw_permits,source_file,source_path,source_sha256,source_pdf_page
2023,2024,TURKEY_BONUS,TK1003,887,REVIEWED_CURRENT_HUNT_CODE,REVIEWED_CURRENT_BOUNDARY_ID,TK1003,887,Central Region - Any Legal Weapon,Turkey,Bearded,Limited Entry,Turkey Bonus,Any Legal Weapon,3494,125,126,251,1 in 13.9,32,3,1,4,1 in 8.0,255,2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,173678409a659135eff98438a06bbd1bda558d73b0b76d911ce28434bc529300,3
2023,2024,TURKEY_BONUS,TK1004,886,REVIEWED_CURRENT_HUNT_CODE,REVIEWED_CURRENT_BOUNDARY_ID,TK1004,886,Northeastern Region - Any Legal Weapon,Turkey,Bearded,Limited Entry,Turkey Bonus,Any Legal Weapon,920,83,84,167,1 in 5.5,22,2,1,3,1 in 7.3,170,2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,173678409a659135eff98438a06bbd1bda558d73b0b76d911ce28434bc529300,4
2023,2024,TURKEY_BONUS,TK1005,888,REVIEWED_CURRENT_HUNT_CODE,REVIEWED_CURRENT_BOUNDARY_ID,TK1005,888,Northern Region - Any Legal Weapon,Turkey,Bearded,Limited Entry,Turkey Bonus,Any Legal Weapon,1853,169,170,339,1 in 5.5,34,1,0,1,1 in 34.0,340,2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,173678409a659135eff98438a06bbd1bda558d73b0b76d911ce28434bc529300,5
2023,2024,TURKEY_BONUS,TK1006,884,REVIEWED_CURRENT_HUNT_CODE,REVIEWED_CURRENT_BOUNDARY_ID,TK1006,884,Southeastern Region - Any Legal Weapon,Turkey,Bearded,Limited Entry,Turkey Bonus,Any Legal Weapon,1011,81,80,161,1 in 6.3,67,4,5,9,1 in 7.4,170,2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,173678409a659135eff98438a06bbd1bda558d73b0b76d911ce28434bc529300,6
2023,2024,TURKEY_BONUS,TK1007,885,REVIEWED_CURRENT_HUNT_CODE,REVIEWED_CURRENT_BOUNDARY_ID,TK1007,885,Southern Region - Any Legal Weapon,Turkey,Bearded,Limited Entry,Turkey Bonus,Any Legal Weapon,3524,244,239,483,1 in 7.3,261,11,16,27,1 in 9.7,510,2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,173678409a659135eff98438a06bbd1bda558d73b0b76d911ce28434bc529300,7
2023,2024,TURKEY_BONUS,TK1018,826,REVIEWED_CURRENT_HUNT_CODE,REVIEWED_CURRENT_BOUNDARY_ID,TK1018,826,Pahvant Ensign - Any Legal Weapon,Turkey,Bearded,CWMU,Turkey Bonus,Any Legal Weapon,125,3,3,6,1 in 20.8,0,0,0,0,N/A,6,2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,173678409a659135eff98438a06bbd1bda558d73b0b76d911ce28434bc529300,8
2023,2024,TURKEY_BONUS,TK1021,807,REVIEWED_CURRENT_HUNT_CODE,REVIEWED_CURRENT_BOUNDARY_ID,TK1021,807,East Zion - Any Legal Weapon,Turkey,Bearded,CWMU,Turkey Bonus,Any Legal Weapon,62,2,2,4,1 in 15.5,3,0,0,0,N/A,4,2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,pipeline/RAW/hunt_unit_database/2024/pdf/draw_odds/2023 _turkey_2023_turkey_bonus_points_draw_results.pdf,173678409a659135eff98438a06bbd1bda558d73b0b76d911ce28434bc529300,9
