"hunt_code","hunt_name","species","sex_type","hunt_type","weapon"
"DB1200","Alton - Premium Buck CWMU","Deer","Buck","CWMU","Any Legal Weapon"
"DB1201","Alton - Management Buck CWMU","Deer","Buck","CWMU","Any Legal Weapon"
"DB1209","Blind Springs CWMU","Deer","Buck","CWMU","Any Legal Weapon"
"DB1238","Folley Ridge CWMU","Deer","Buck","CWMU","Any Legal Weapon"
"DB1255","Johnson Mountain Ranch CWMU","Deer","Buck","CWMU","Any Legal Weapon"
"DB1310","White's Valley CWMU","Deer","Buck","CWMU","Any Legal Weapon"
"DB1330","Iron Spring CWMU","Deer","Buck","CWMU","Any Legal Weapon"
"DB1333","5S CWMU","Deer","Buck","CWMU","Any Legal Weapon"
"DB1334","Alton - Cactus Buck CWMU","Deer","Buck","CWMU","Any Legal Weapon"
"DB1335","Big Piney Ranch CWMU","Deer","Buck","CWMU","Any Legal Weapon"
"DB1337","Little Pole Canyon CWMU","Deer","Buck","CWMU","Any Legal Weapon"
"DB1349","Weber Florence Creek/Stillman Creek CWMU","Deer","Buck","CWMU","Any Legal Weapon"
"EA1135","Folley Ridge CWMU","Elk","Antlerless","CWMU","Any Legal Weapon"
"EA1145","Johnson Mountain Ranch CWMU","Elk","Antlerless","CWMU","Any Legal Weapon"
"EA1158","Cactus Ranch LLC CWMU","Elk","Antlerless","CWMU","Any Legal Weapon"
"EA1256","Little Pole Canyon CWMU","Elk","Antlerless","CWMU","Any Legal Weapon"
"EA1259","Diamond Mountain CWMU","Elk","Antlerless","CWMU","Any Legal Weapon"
"EA1263","Weber Florence Creek/Stillman Creek CWMU","Elk","Antlerless","CWMU","Any Legal Weapon"
"EB3520","Folley Ridge CWMU","Elk","Bull","CWMU","Any Legal Weapon"
"EB3531","Johnson Mountain Ranch CWMU","Elk","Bull","CWMU","Any Legal Weapon"
"EB3545","Cactus Ranch LLC CWMU","Elk","Bull","CWMU","Any Legal Weapon"
"EB3613","Little Pole Canyon CWMU","Elk","Bull","CWMU","Any Legal Weapon"
"EB3619","Weber Florence Creek/Stillman Creek CWMU","Elk","Bull","CWMU","Any Legal Weapon"
"MB6201","Beaver Hollow CWMU","Moose","Bull","CWMU","Any Legal Weapon"
"MB6265","Little Pole Canyon CWMU","Moose","Bull","CWMU","Any Legal Weapon"
"MB6266","Weber Florence Creek/Stillman Creek CWMU","Moose","Bull","CWMU","Any Legal Weapon"
"PB5339","Iron Spring CWMU","Pronghorn","Buck","CWMU","Any Legal Weapon"
