Unit,Hunt number,CWMU name,Permits,Bull harvest,Hunters afield,Mean days hunted,Success rate (%),source_page
27,EB3500,Alton,4,5,5,7.2,80.0,1
17,EB3608,Avintaquin Canyon,3,4,4,3.0,66.7,1
25AB,EB3501,Bar J Ranch,11,11,11,3.3,100.0,1
16B,EB3502,Bear Mountain,3,7,7,4.0,42.9,1
3,EB3503,Bear Springs,5,8,8,3.6,57.1,1
16B,EB3504,Black Hawk,10,11,10,4.3,100.0,1
25AB,EB3505,Boobe Hole,16,16,16,3.4,100.0,1
4,EB3506,Causey Spring,8,11,11,4.0,70.0,1
4,EB3508,Chimney Rock,16,20,20,3.8,82.4,1
3,EB3509,Coldwater Ranch,18,18,18,3.3,100.0,1
1,EB3511,Cotton Thomas,3,3,3,4.0,100.0,1
4,EB3514,Deseret,105,112,112,3.7,93.3,1
9C,EB3617,Diamond Mountain CWMU,5,5,5,3.5,100.0,1
1,EB3515,Double Cone,7,7,7,3.2,100.0,1
17,EB3604,Double R Ranch,8,9,9,3.3,87.5,1
4,EB3516,Durst Mountain,14,25,20,3.5,72.7,1
6,EB3517,East Fork Chalk Creek,23,30,30,7.8,75.9,1
6,EB3519,Ensign Ranches,24,26,26,4.1,90.9,1
4,EB3520,Folley Ridge,15,17,17,2.9,85.7,1
6,EB3521,Grass Valley/Clark Canyon,58,97,94,4.1,61.6,1
25AB,EB3522,Grazing Pasture,5,5,5,2.6,100.0,1
4,EB3523,Guildersleeve,17,19,19,4.0,87.5,1
5,EB3524,Hardscrabble,10,12,12,6.4,80.0,1
18,EB3525,Heaston East,19,20,20,3.5,94.1,1
16B,EB3526,Hiawatha,9,10,10,5.8,87.5,1
17,EB3527,Indian Head,10,10,10,3.5,100.0,1
1,EB3528,Ingham Peak,4,6,6,3.2,60.0,1
13A,EB3529,J. B. Ranch,9,9,9,3.0,100.0,1
5,EB3530,Jacob's Creek,6,10,10,4.4,55.6,1
25AB,EB3531,Johnson Mountain Ranch,18,19,18,3.9,100.0,1
16B,EB3532,Jump Creek,4,5,5,3.8,80.0,1
1,EB3533,Junction Valley,2,5,5,4.7,33.3,1
17,EB3613,Little Pole Canyon,2,3,3,4.7,66.7,1
17,EB3534,Little Red Creek,12,14,14,4.1,83.3,1
11B,EB3536,Minnie Maud Ridge,37,45,44,4.8,85.4,1
17,EB3538,Moon Ranch,3,10,7,6.2,50.0,1
16A,EB3606,Mountain Sky Ranch,2,2,2,15.5,100.0,1
1,EB3565,North Peaks,4,7,7,4.7,50.0,1
16B,EB3540,Old Woman Plateau,10,10,10,5.4,100.0,1
21,EB3603,Pahvant Ensign,7,7,7,3.0,100.0,1
11B,EB3541,Patmos Ridge,4,6,5,10.3,75.0,2
11B,EB3543,Preston Nutter Ranch,7,19,19,3.6,38.9,2
13A,EB3544,Redd Ranches,17,19,19,4.1,88.9,2
1,EB3545,Riverview Ranch LLC,7,7,7,9.0,100.0,2
11B,EB3546,Roan Cliffs,9,10,10,4.5,87.5,2
8A,EB3609,Royal Ivory Outfitters,18,19,19,4.8,94.4,2
17,EB3547,Sand Creek,3,5,5,2.8,50.0,2
16B,EB3548,Scofield Canyons,7,8,8,1.9,87.5,2
16B,EB3549,Scofield East,7,8,8,3.0,87.5,2
16B,EB3550,Scofield West,8,10,10,3.4,77.8,2
3,EB3610,Sharp Mountain,15,18,18,5.0,83.3,2
2,EB3551,SJ Ranch,6,8,8,4.8,75.0,2
4,EB3552,Skull Crack,7,8,8,3.0,87.5,2
16B,EB3553,Soldier Summit,14,16,16,4.3,87.5,2
3,EB3554,South Canyon,9,12,12,3.6,72.7,2
14,EB3555,Spring Creek/Dodge,12,13,13,3.4,90.9,2
2,EB3557,Strawberry Ridge,19,20,20,3.3,95.0,2
14,EB3558,Summit Point,4,4,4,8.0,100.0,2
25C/26,EB3616,Sweetwater,3,3,3,5.0,100.0,2
17,EB3559,Three C,10,10,10,4.9,100.0,2
5,EB3614,Tunnel Hollow,6,7,7,4.2,83.3,2
6,EB3561,Two Bear,43,50,50,3.3,86.8,2
17,EB3562,Wallsburg,7,10,10,4.6,70.0,2
6,EB3563,Weber Florence Creek,70,90,89,3.7,79.0,2
6,EB3619,Weber Florence Creek/Stillman Creek,7,10,10,3.3,70.0,2
11B,EB3611,West Ridge,9,18,18,6.6,50.0,2
10,EB3607,West Willow Creek Ranch,3,3,3,3.5,100.0,2
4,EB3564,Woodruff Creek South,14,18,18,4.5,75.0,2
