file,mode,rows,rows_matched,rows_zero,candidate_pool_size,fallback_candidate_pool_size
pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_general_season_2024_extract/ELK_GENERAL_SEASON.csv,existing_code_column,121,121,0,,
pipeline/RAW/hunt_unit_database/2025/formatted_tables/limited_entry_elk_harvest_2024_extract/LIMITED_ENTRY_ELK_HARVEST_2024_STANDARDIZED.csv,existing_code_column,164,142,22,,
pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_average_age_2024_extract/ELK_AVERAGE_AGE_HARVEST_2024.csv,existing_code_column,26,26,0,,
pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_by_unit_historical_2015_2024_extract/ELK_BULL_BY_UNIT_2015_2024.csv,unit_name_matching,37,22,15,287.0,0.0
pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_bull_by_unit_2024_extract/ELK_TOTAL_HARVEST_BY_UNIT_2024.csv,unit_name_matching,38,36,2,425.0,0.0
pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_bull_by_unit_2024_extract/ELK_GENERAL_SEASON_ARCHERY_HARVEST_BY_UNIT_2024.csv,unit_name_matching,35,1,34,10.0,119.0
pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_cwmu_bull_harvest_2024_extract/ELK_CWMU_BULL_HARVEST_2024.csv,direct_hunt_number,68,63,5,,
pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_general_extended_archery_2024_extract/ELK_GENERAL_EXTENDED_ARCHERY_HARVEST_2024.csv,unit_name_matching,6,6,0,1.0,119.0
pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_limited_antlerless_2024_extract/ELK_LIMITED_ANTLERLESS_HARVEST_2024.csv,direct_hunt_number,184,178,6,,
pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_youth_any_bull_hunters_choice_2024_extract/ELK_YOUTH_ANY_BULL_HUNTERS_CHOICE_2024.csv,unit_name_matching,61,59,2,6.0,425.0
pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_statewide_stats_1931_2024_extract/ELK_STATEWIDE_HARVEST_STATS_1931_2024.csv,statewide_no_unit,94,0,94,,
pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_winter_population_2020_2024_extract/ELK_WINTER_POPULATION_ESTIMATES_2020_2024.csv,unit_name_matching,39,36,3,425.0,0.0
pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_preseason_calf_per_100_cows_2015_2024_extract/ELK_PRESEASON_CALF_PER_100_COWS_2015_2024.csv,unit_name_matching,30,29,1,425.0,0.0
pipeline/RAW/hunt_unit_database/2025/formatted_tables/elk_winter_trend_2015_2024_extract/ELK_WINTER_TREND_2015_2024.csv,unit_name_matching,357,263,94,425.0,0.0
