"hunt_code","species","hunt_name","hunt_type","weapon","sex_type","permits_total","hunters","harvest","percent_success","avg_days","satisfaction","year","prediction_year","source_file"
"DS1000","Desert Bighorn Sheep","Desert Bighorn Sheep - Statewide Permit","Sportsman","Any Legal Weapon","Male Only","2","2.0","2.0","100.0","6.5","5.0","2025","2026","harvest_2025.csv"
"DS1002","Desert Bighorn Sheep","Kaiparowits, East","Conservation","Any Legal Weapon","Male Only","1","1.0","1.0","100.0","1.0","5.0","2025","2026","harvest_2025.csv"
"DS1003","Desert Bighorn Sheep","","","","","1","7.0","1.0","26.0","100.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"DS1003","Desert Bighorn Sheep","Kaiparowits, Escalante","Conservation","Any Legal Weapon","Male Only","1","1.0","1.0","100.0","4.0","4.0","2025","2026","harvest_2025.csv"
"DS1004","Desert Bighorn Sheep","San Rafael, Dirty Devil","Conservation","Any Legal Weapon","Male Only","1","1.0","1.0","100.0","6.0","4.0","2025","2026","harvest_2025.csv"
"DS1006","Desert Bighorn Sheep","Kaiparowits, West","Conservation","Any Legal Weapon","Male Only","1","1.0","1.0","100.0","1.0","5.0","2025","2026","harvest_2025.csv"
"DS1006","Desert Bighorn Sheep","","","","","1","1.0","1.0","13.0","100.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"DS1007","Desert Bighorn Sheep","","","","","1","12.0","1.0","29.0","100.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"DS1007","Desert Bighorn Sheep","San Rafael, South","Conservation","Any Legal Weapon","Male Only","1","1.0","1.0","100.0","1.0","5.0","2025","2026","harvest_2025.csv"
"DS6600","Desert Bighorn Sheep","Henry Mtns","OIAL","Any Legal Weapon","Male Only","3","3.0","2.0","66.7","22.7","2.3","2025","2026","harvest_2025.csv"
"DS6600","Desert Bighorn Sheep","","","","","2","12.5","2.0","15.0","100.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"DS6601","Desert Bighorn Sheep","Kaiparowits, East","OIAL","Any Legal Weapon","Male Only","13","13.0","13.0","100.0","5.3","4.8","2025","2026","harvest_2025.csv"
"DS6601","Desert Bighorn Sheep","","","","","9","15.0","9.0","26.0","100.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"DS6603","Desert Bighorn Sheep","Kaiparowits, West","OIAL","Any Legal Weapon","Male Only","5","5.0","5.0","100.0","6.0","4.4","2025","2026","harvest_2025.csv"
"DS6603","Desert Bighorn Sheep","","","","","6","4.0","6.0","26.0","100.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"DS6604","Desert Bighorn Sheep","La Sal, Potash/South Cisco","OIAL","Any Legal Weapon","Male Only","7","7.0","7.0","100.0","7.7","4.3","2025","2026","harvest_2025.csv"
"DS6604","Desert Bighorn Sheep","","","","","7","9.3","7.0","22.0","100.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"DS6605","Desert Bighorn Sheep","Pine Valley","OIAL","Any Legal Weapon","Male Only","1","1.0","1.0","100.0","8.0","5.0","2025","2026","harvest_2025.csv"
"DS6606","Desert Bighorn Sheep","San Juan, Lockhart","OIAL","Any Legal Weapon","Male Only","2","2.0","1.0","50.0","12.0","4.5","2025","2026","harvest_2025.csv"
"DS6606","Desert Bighorn Sheep","","","","","2","8.5","2.0","14.0","100.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"DS6607","Desert Bighorn Sheep","San Juan, South","OIAL","Any Legal Weapon","Male Only","2","2.0","2.0","100.0","6.5","5.0","2025","2026","harvest_2025.csv"
"DS6607","Desert Bighorn Sheep","","","","","2","13.0","1.0","12.0","50.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"DS6608","Desert Bighorn Sheep","","","","","7","11.9","6.0","12.0","85.7","","2024","2025","harvest-metrics-2024-bg-report.csv"
"DS6608","Desert Bighorn Sheep","San Rafael, Dirty Devil","OIAL","Any Legal Weapon","Male Only","7","7.0","6.0","85.7","11.1","4.6","2025","2026","harvest_2025.csv"
"DS6609","Desert Bighorn Sheep","San Rafael, North","OIAL","Any Legal Weapon","Male Only","8","8.0","8.0","100.0","10.1","4.9","2025","2026","harvest_2025.csv"
"DS6609","Desert Bighorn Sheep","","","","","4","14.3","4.0","12.0","100.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"DS6610","Desert Bighorn Sheep","","","","","11","8.3","9.0","12.0","81.8","","2024","2025","harvest-metrics-2024-bg-report.csv"
"DS6610","Desert Bighorn Sheep","San Rafael, South","OIAL","Any Legal Weapon","Male Only","12","12.0","11.0","91.7","11.2","4.4","2025","2026","harvest_2025.csv"
"DS6611","Desert Bighorn Sheep","Zion","OIAL","Any Legal Weapon","Male Only","3","3.0","3.0","100.0","20.7","4.7","2025","2026","harvest_2025.csv"
"DS6620","Desert Bighorn Sheep","","","","","2","8.5","2.0","14.0","100.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"DS6620","Desert Bighorn Sheep","Pine Valley, Virgin River","OIAL","Any Legal Weapon","Male Only","3","3.0","2.0","66.7","15.0","3.7","2025","2026","harvest_2025.csv"
"DS6621","Desert Bighorn Sheep","","","","","6","7.7","6.0","30.0","100.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"DS6621","Desert Bighorn Sheep","Pine Valley, Beaver Dam","OIAL","Any Legal Weapon","Male Only","5","5.0","3.0","60.0","11.7","2.7","2025","2026","harvest_2025.csv"
"DS6622","Desert Bighorn Sheep","","","","","1","19.0","0.0","14.0","0.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"DS6622","Desert Bighorn Sheep","San Juan, North","OIAL","Any Legal Weapon","Male Only","3","3.0","1.0","33.3","16.0","1.7","2025","2026","harvest_2025.csv"
"DS6623","Desert Bighorn Sheep","San Juan, San Juan River","OIAL","Any Legal Weapon","Male Only","2","2.0","2.0","100.0","14.0","5.0","2025","2026","harvest_2025.csv"
"DS6624","Desert Bighorn Sheep","San Rafael, Dirty Devil","OIAL","Archery","Male Only","3","3.0","2.0","66.7","9.5","3.5","2025","2026","harvest_2025.csv"
"DS6624","Desert Bighorn Sheep","","","","","2","4.5","1.0","12.0","50.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"DS6625","Desert Bighorn Sheep","","","","","2","2.0","2.0","30.0","100.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"DS6625","Desert Bighorn Sheep","Mineral Mtns","OIAL","Any Legal Weapon","Male Only","3","3.0","3.0","100.0","3.0","5.0","2025","2026","harvest_2025.csv"
"DS6626","Desert Bighorn Sheep","Escalante, East","OIAL","Any Legal Weapon","Male Only","7","7.0","5.0","71.4","13.4","3.9","2025","2026","harvest_2025.csv"
"DS6627","Desert Bighorn Sheep","Escalante, West","OIAL","Any Legal Weapon","Male Only","3","3.0","3.0","100.0","5.7","5.0","2025","2026","harvest_2025.csv"
